date,lunar_date,day_of_week,month,is_holiday,weather_condition,temperature,voucher_active,number_of_guests
2024-10-02,30/8,Wednesday,10,0,Clear,33.4,0,11
2024-10-03,1/9,Thursday,10,0,Drizzle,26.0,1,38
2024-10-04,2/9,Friday,10,0,Rain,27.8,1,11
2024-10-05,3/9,Saturday,10,0,Drizzle,17.7,1,31
2024-10-06,4/9,Sunday,10,0,Clear,28.3,1,38
2024-10-07,5/9,Monday,10,0,Clear,29.9,1,28
2024-10-08,6/9,Tuesday,10,0,Clouds,28.8,1,23
2024-10-09,7/9,Wednesday,10,0,Thunderstorm,20.0,0,17
2024-10-10,8/9,Thursday,10,1,Drizzle,32.1,0,36
2024-10-11,9/9,Friday,10,1,Thunderstorm,34.4,0,23
2024-10-12,10/9,Saturday,10,0,Rain,32.0,1,20
2024-10-13,11/9,Sunday,10,0,Thunderstorm,23.5,1,33
2024-10-14,12/9,Monday,10,0,Clouds,35.2,1,22
2024-10-15,13/9,Tuesday,10,0,Drizzle,24.5,0,12
2024-10-16,14/9,Wednesday,10,0,Clouds,23.0,0,21
2024-10-17,15/9,Thursday,10,0,Clear,22.6,1,23
2024-10-18,16/9,Friday,10,0,Rain,33.2,0,8
2024-10-19,17/9,Saturday,10,0,Rain,26.2,1,37
2024-10-20,18/9,Sunday,10,1,Thunderstorm,18.4,0,48
2024-10-21,19/9,Monday,10,0,Drizzle,27.6,1,24
2024-10-22,20/9,Tuesday,10,0,Rain,35.7,1,20
2024-10-23,21/9,Wednesday,10,0,Drizzle,42.0,1,23
2024-10-24,22/9,Thursday,10,0,Clouds,30.3,0,15
2024-10-25,23/9,Friday,10,0,Clear,32.1,0,18
2024-10-26,24/9,Saturday,10,0,Thunderstorm,32.6,1,22
2024-10-27,25/9,Sunday,10,0,Clouds,26.6,0,26
2024-10-28,26/9,Monday,10,0,Rain,26.9,0,18
2024-10-29,27/9,Tuesday,10,0,Thunderstorm,31.7,1,17
2024-10-30,28/9,Wednesday,10,0,Rain,26.9,1,21
2024-10-31,29/9,Thursday,10,1,Rain,28.2,0,31
2024-11-01,1/10,Friday,11,0,Thunderstorm,29.4,1,23
2024-11-02,2/10,Saturday,11,0,Clouds,30.5,1,41
2024-11-03,3/10,Sunday,11,0,Rain,27.7,0,47
2024-11-04,4/10,Monday,11,0,Thunderstorm,33.6,0,19
2024-11-05,5/10,Tuesday,11,0,Drizzle,23.2,0,16
2024-11-06,6/10,Wednesday,11,0,Drizzle,34.5,0,21
2024-11-07,7/10,Thursday,11,0,Drizzle,24.3,1,25
2024-11-08,8/10,Friday,11,0,Clouds,38.4,1,34
2024-11-09,9/10,Saturday,11,0,Rain,30.1,1,32
2024-11-10,10/10,Sunday,11,1,Rain,33.5,0,33
2024-11-11,11/10,Monday,11,0,Thunderstorm,22.7,0,13
2024-11-12,12/10,Tuesday,11,0,Thunderstorm,21.3,1,15
2024-11-13,13/10,Wednesday,11,0,Rain,28.1,0,12
2024-11-14,14/10,Thursday,11,0,Thunderstorm,24.0,1,22
2024-11-15,15/10,Friday,11,1,Thunderstorm,16.3,1,18
2024-11-16,16/10,Saturday,11,0,Rain,26.7,0,33
2024-11-17,17/10,Sunday,11,0,Thunderstorm,28.7,1,20
2024-11-18,18/10,Monday,11,0,Clear,26.7,1,24
2024-11-19,19/10,Tuesday,11,0,Thunderstorm,27.4,1,21
2024-11-20,20/10,Wednesday,11,0,Clouds,26.7,1,26
2024-11-21,21/10,Thursday,11,0,Clear,28.7,0,18
2024-11-22,22/10,Friday,11,0,Drizzle,34.6,0,17
2024-11-23,23/10,Saturday,11,0,Thunderstorm,29.6,1,43
2024-11-24,24/10,Sunday,11,0,Clouds,21.1,0,34
2024-11-25,25/10,Monday,11,0,Thunderstorm,23.2,1,19
2024-11-26,26/10,Tuesday,11,0,Rain,23.5,0,26
2024-11-27,27/10,Wednesday,11,0,Clouds,33.5,0,18
2024-11-28,28/10,Thursday,11,0,Rain,22.7,0,11
2024-11-29,29/10,Friday,11,0,Thunderstorm,23.5,0,14
2024-11-30,30/10,Saturday,11,0,Clear,19.1,1,42
2024-12-01,1/11,Sunday,12,0,Rain,28.4,0,21
2024-12-02,2/11,Monday,12,0,Rain,37.2,0,8
2024-12-03,3/11,Tuesday,12,0,Thunderstorm,24.1,0,13
2024-12-04,4/11,Wednesday,12,0,Rain,22.1,1,23
2024-12-05,5/11,Thursday,12,0,Clear,36.4,0,17
2024-12-06,6/11,Friday,12,0,Clouds,34.8,1,29
2024-12-07,7/11,Saturday,12,0,Clear,25.2,0,33
2024-12-08,8/11,Sunday,12,0,Thunderstorm,27.8,0,24
2024-12-09,9/11,Monday,12,0,Clear,40.7,1,23
2024-12-10,10/11,Tuesday,12,0,Thunderstorm,22.5,0,14
2024-12-11,11/11,Wednesday,12,0,Rain,33.0,1,23
2024-12-12,12/11,Thursday,12,0,Rain,24.3,1,19
2024-12-13,13/11,Friday,12,0,Clouds,23.2,1,27
2024-12-14,14/11,Saturday,12,0,Rain,31.8,0,22
2024-12-15,15/11,Sunday,12,0,Clear,34.9,0,38
2024-12-16,16/11,Monday,12,0,Clouds,24.1,0,16
2024-12-17,17/11,Tuesday,12,0,Thunderstorm,26.4,1,17
2024-12-18,18/11,Wednesday,12,0,Thunderstorm,39.0,0,11
2024-12-19,19/11,Thursday,12,0,Clear,26.6,0,21
2024-12-20,20/11,Friday,12,0,Drizzle,35.6,0,21
2024-12-21,21/11,Saturday,12,0,Rain,18.9,0,28
2024-12-22,22/11,Sunday,12,0,Clear,20.9,0,27
2024-12-23,23/11,Monday,12,0,Thunderstorm,24.9,1,20
2024-12-24,24/11,Tuesday,12,1,Drizzle,26.9,1,46
2024-12-25,25/11,Wednesday,12,0,Clear,32.9,0,22
2024-12-26,26/11,Thursday,12,0,Rain,30.9,1,12
2024-12-27,27/11,Friday,12,0,Thunderstorm,24.1,1,15
2024-12-28,28/11,Saturday,12,0,Rain,28.9,0,26
2024-12-29,29/11,Sunday,12,0,Drizzle,34.3,1,31
2024-12-30,30/11,Monday,12,0,Clear,34.0,0,23
2024-12-31,1/12,Tuesday,12,0,Clear,25.9,1,27
2025-01-01,2/12,Wednesday,1,1,Rain,24.8,0,25
2025-01-02,3/12,Thursday,1,0,Thunderstorm,36.6,0,15
2025-01-03,4/12,Friday,1,0,Rain,26.4,1,17
2025-01-04,5/12,Saturday,1,0,Clear,19.8,1,21
2025-01-05,6/12,Sunday,1,0,Clouds,28.8,1,36
2025-01-06,7/12,Monday,1,0,Thunderstorm,20.6,1,20
2025-01-07,8/12,Tuesday,1,0,Clouds,38.8,0,20
2025-01-08,9/12,Wednesday,1,0,Clouds,21.7,1,22
2025-01-09,10/12,Thursday,1,0,Thunderstorm,28.5,0,5
2025-01-10,11/12,Friday,1,0,Drizzle,24.2,0,16
2025-01-11,12/12,Saturday,1,0,Thunderstorm,30.4,1,35
2025-01-12,13/12,Sunday,1,0,Drizzle,38.8,0,23
2025-01-13,14/12,Monday,1,0,Rain,28.5,0,8
2025-01-14,15/12,Tuesday,1,0,Thunderstorm,42.0,0,6
2025-01-15,16/12,Wednesday,1,0,Clear,41.2,0,21
2025-01-16,17/12,Thursday,1,0,Clouds,24.4,1,32
2025-01-17,18/12,Friday,1,0,Rain,32.2,1,17
2025-01-18,19/12,Saturday,1,0,Clouds,27.0,0,33
2025-01-19,20/12,Sunday,1,0,Clear,33.9,1,43
2025-01-20,21/12,Monday,1,0,Clear,37.5,1,31
2025-01-21,22/12,Tuesday,1,0,Thunderstorm,24.1,0,11
2025-01-22,23/12,Wednesday,1,0,Clear,25.3,0,22
2025-01-23,24/12,Thursday,1,0,Drizzle,21.8,0,17
2025-01-24,25/12,Friday,1,0,Clouds,36.6,0,32
2025-01-25,26/12,Saturday,1,0,Thunderstorm,40.9,0,26
2025-01-26,27/12,Sunday,1,0,Rain,31.3,0,21
2025-01-27,28/12,Monday,1,0,Drizzle,27.3,1,17
2025-01-28,29/12,Tuesday,1,0,Drizzle,25.4,0,20
2025-01-29,1/1,Wednesday,1,0,Thunderstorm,27.7,0,10
2025-01-30,2/1,Thursday,1,0,Rain,29.7,0,12
2025-01-31,3/1,Friday,1,0,Clear,22.8,0,26
2025-02-01,4/1,Saturday,2,0,Drizzle,20.1,0,26
2025-02-02,5/1,Sunday,2,0,Rain,25.3,0,20
2025-02-03,6/1,Monday,2,0,Drizzle,36.1,0,20
2025-02-04,7/1,Tuesday,2,0,Clouds,27.2,1,33
2025-02-05,8/1,Wednesday,2,0,Clouds,33.1,0,20
2025-02-06,9/1,Thursday,2,0,Thunderstorm,23.1,0,17
2025-02-07,10/1,Friday,2,0,Clear,24.2,0,12
2025-02-08,11/1,Saturday,2,0,Thunderstorm,26.1,0,20
2025-02-09,12/1,Sunday,2,0,Clear,15.5,0,15
2025-02-10,13/1,Monday,2,0,Drizzle,25.7,0,22
2025-02-11,14/1,Tuesday,2,0,Drizzle,36.2,1,30
2025-02-12,15/1,Wednesday,2,1,Drizzle,24.0,1,29
2025-02-13,16/1,Thursday,2,0,Rain,35.4,1,20
2025-02-14,17/1,Friday,2,1,Rain,38.5,1,32
2025-02-15,18/1,Saturday,2,0,Rain,20.6,0,18
2025-02-16,19/1,Sunday,2,0,Clear,31.0,0,28
2025-02-17,20/1,Monday,2,0,Rain,23.6,1,15
2025-02-18,21/1,Tuesday,2,0,Drizzle,29.9,0,20
2025-02-19,22/1,Wednesday,2,0,Clear,27.1,0,24
2025-02-20,23/1,Thursday,2,0,Drizzle,36.2,1,21
2025-02-21,24/1,Friday,2,0,Drizzle,25.2,1,23
2025-02-22,25/1,Saturday,2,0,Clear,30.8,0,28
2025-02-23,26/1,Sunday,2,0,Clouds,30.9,1,31
2025-02-24,27/1,Monday,2,0,Drizzle,35.2,1,24
2025-02-25,28/1,Tuesday,2,0,Drizzle,19.5,0,23
2025-02-26,29/1,Wednesday,2,0,Drizzle,22.5,1,30
2025-02-27,30/1,Thursday,2,0,Rain,29.9,1,15
2025-02-28,1/2,Friday,2,0,Thunderstorm,24.3,1,17
2025-03-01,2/2,Saturday,3,0,Drizzle,25.0,0,33
2025-03-02,3/2,Sunday,3,0,Thunderstorm,20.0,0,20
2025-03-03,4/2,Monday,3,0,Drizzle,31.4,1,19
2025-03-04,5/2,Tuesday,3,0,Drizzle,21.2,0,21
2025-03-05,6/2,Wednesday,3,0,Drizzle,26.1,1,28
2025-03-06,7/2,Thursday,3,0,Clear,30.0,0,16
2025-03-07,8/2,Friday,3,0,Drizzle,29.3,1,29
2025-03-08,9/2,Saturday,3,1,Drizzle,16.5,1,45
2025-03-09,10/2,Sunday,3,0,Thunderstorm,27.6,1,30
2025-03-10,11/2,Monday,3,0,Rain,25.3,1,19
2025-03-11,12/2,Tuesday,3,0,Drizzle,33.3,1,29
2025-03-12,13/2,Wednesday,3,0,Thunderstorm,22.7,1,20
2025-03-13,14/2,Thursday,3,0,Clear,32.7,1,26
2025-03-14,15/2,Friday,3,0,Clouds,27.0,0,12
2025-03-15,16/2,Saturday,3,0,Drizzle,37.6,0,26
2025-03-16,17/2,Sunday,3,0,Clouds,20.9,1,37
2025-03-17,18/2,Monday,3,0,Clear,42.0,0,22
2025-03-18,19/2,Tuesday,3,0,Clear,32.2,0,35
2025-03-19,20/2,Wednesday,3,0,Thunderstorm,30.3,0,17
2025-03-20,21/2,Thursday,3,0,Thunderstorm,26.6,1,34
2025-03-21,22/2,Friday,3,0,Thunderstorm,28.6,0,18
2025-03-22,23/2,Saturday,3,0,Thunderstorm,37.3,1,24
2025-03-23,24/2,Sunday,3,0,Clear,28.9,1,42
2025-03-24,25/2,Monday,3,0,Clear,29.2,0,19
2025-03-25,26/2,Tuesday,3,0,Clear,30.2,0,11
2025-03-26,27/2,Wednesday,3,0,Rain,26.8,0,15
2025-03-27,28/2,Thursday,3,0,Rain,36.8,0,10
2025-03-28,29/2,Friday,3,0,Drizzle,20.4,0,19
2025-03-29,1/3,Saturday,3,0,Clouds,23.1,1,37
2025-03-30,2/3,Sunday,3,0,Thunderstorm,28.9,0,38
2025-03-31,3/3,Monday,3,1,Thunderstorm,28.1,1,20
2025-04-01,4/3,Tuesday,4,0,Drizzle,23.6,1,17
2025-04-02,5/3,Wednesday,4,0,Thunderstorm,32.6,1,24
2025-04-03,6/3,Thursday,4,0,Drizzle,34.4,1,20
2025-04-04,7/3,Friday,4,0,Clouds,37.7,0,22
2025-04-05,8/3,Saturday,4,0,Clear,32.9,0,32
2025-04-06,9/3,Sunday,4,0,Clouds,17.7,0,24
2025-04-07,10/3,Monday,4,1,Rain,32.4,1,13
2025-04-08,11/3,Tuesday,4,0,Clear,27.0,0,32
2025-04-09,12/3,Wednesday,4,0,Rain,33.9,1,22
2025-04-10,13/3,Thursday,4,0,Thunderstorm,23.2,1,19
2025-04-11,14/3,Friday,4,0,Clear,26.9,0,12
2025-04-12,15/3,Saturday,4,0,Clear,36.3,0,35
2025-04-13,16/3,Sunday,4,0,Drizzle,22.8,0,32
2025-04-14,17/3,Monday,4,0,Thunderstorm,33.3,0,13
2025-04-15,18/3,Tuesday,4,0,Rain,29.4,0,8
2025-04-16,19/3,Wednesday,4,0,Rain,32.7,1,20
2025-04-17,20/3,Thursday,4,0,Clear,29.8,0,24
2025-04-18,21/3,Friday,4,0,Drizzle,33.3,1,20
2025-04-19,22/3,Saturday,4,0,Drizzle,19.1,1,32
2025-04-20,23/3,Sunday,4,0,Rain,34.8,1,32
2025-04-21,24/3,Monday,4,0,Rain,15.6,0,14
2025-04-22,25/3,Tuesday,4,0,Rain,22.7,1,19
2025-04-23,26/3,Wednesday,4,0,Thunderstorm,33.8,1,20
2025-04-24,27/3,Thursday,4,0,Thunderstorm,24.4,1,25
2025-04-25,28/3,Friday,4,0,Thunderstorm,24.2,1,25
2025-04-26,29/3,Saturday,4,0,Clear,21.5,1,35
2025-04-27,30/3,Sunday,4,0,Drizzle,35.9,1,32
2025-04-28,1/4,Monday,4,0,Drizzle,28.3,0,21
2025-04-29,2/4,Tuesday,4,0,Thunderstorm,26.1,0,19
2025-04-30,3/4,Wednesday,4,1,Clouds,26.4,1,41
2025-05-01,4/4,Thursday,5,1,Thunderstorm,33.1,1,33
2025-05-02,5/4,Friday,5,0,Drizzle,36.4,1,16
2025-05-03,6/4,Saturday,5,0,Drizzle,32.4,0,23
2025-05-04,7/4,Sunday,5,0,Clear,30.6,0,37
2025-05-05,8/4,Monday,5,0,Drizzle,26.5,0,19
2025-05-06,9/4,Tuesday,5,0,Clouds,17.3,0,23
2025-05-07,10/4,Wednesday,5,1,Rain,33.7,0,36
2025-05-08,11/4,Thursday,5,0,Clear,32.9,1,17
2025-05-09,12/4,Friday,5,0,Rain,30.4,0,11
2025-05-10,13/4,Saturday,5,0,Thunderstorm,34.0,1,31
2025-05-11,14/4,Sunday,5,0,Clouds,35.0,1,28
2025-05-12,15/4,Monday,5,1,Rain,19.2,1,9
2025-05-13,16/4,Tuesday,5,0,Rain,28.6,0,35
2025-05-14,17/4,Wednesday,5,0,Clear,20.2,0,23
2025-05-15,18/4,Thursday,5,0,Drizzle,31.5,0,12
2025-05-16,19/4,Friday,5,0,Drizzle,36.4,1,35
2025-05-17,20/4,Saturday,5,0,Clouds,22.3,0,32
2025-05-18,21/4,Sunday,5,0,Rain,25.3,1,30
2025-05-19,22/4,Monday,5,0,Thunderstorm,35.7,1,15
2025-05-20,23/4,Tuesday,5,0,Clouds,31.6,0,30
2025-05-21,24/4,Wednesday,5,0,Clear,33.1,0,32
2025-05-22,25/4,Thursday,5,0,Thunderstorm,21.5,1,25
2025-05-23,26/4,Friday,5,0,Clear,32.9,1,31
2025-05-24,27/4,Saturday,5,0,Rain,26.4,0,40
2025-05-25,28/4,Sunday,5,0,Clouds,33.8,0,39
2025-05-26,29/4,Monday,5,0,Drizzle,20.4,0,25
2025-05-27,1/5,Tuesday,5,0,Drizzle,19.3,0,18
2025-05-28,2/5,Wednesday,5,0,Drizzle,23.9,1,22
2025-05-29,3/5,Thursday,5,0,Clear,22.4,1,30
2025-05-30,4/5,Friday,5,0,Thunderstorm,27.4,1,25
